,OTU,.ID,group,Kingdom,Phylum,Class,Order,Family,Genus,Species,,,,
148,OTU,8638,1,Fungi,,,,,,,,,,
123,OTU,8680,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,,,,,
389,OTU,8706,1,Fungi,,,,,,,,,,
146,OTU,8722,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,alpina,SH183633.07FU,,
320,OTU,8732,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,sp,SH003983.07FU,,
761,OTU,8852,1,Fungi,,,,,,,,,,
437,OTU,8877,1,Fungi,,,,,,,,,,
217,OTU,8979,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,,,,,
617,OTU,9017,1,Fungi,,,,,,,,,,
377,OTU,9024,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,sp,SH180140.07FU,,
724,OTU,9029,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,alpina,SH183636.07FU,,
583,OTU,9045,1,Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Powellomyces,Powellomyces,sp,SH006449.07FU,,
357,OTU,9053,1,Fungi,,,,,,,,,,
703,OTU,9092,1,Fungi,,,,,,,,,,
457,OTU,9124,1,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,Kurtzmanomyces,sp,SH016001.07FU,,
245,OTU,9178,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,gamsii,SH180111.07FU,,
713,OTU,9189,1,Fungi,,,,,,,,,,
312,OTU,9200,1,Fungi,Zygomycota,Incertae,Mortierellales,unidentified,unidentified,Mortierellales,sp,SH007215.07FU,,
424,OTU,9243,1,Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Powellomyces,Powellomyces,sp,SH006448.07FU,,
387,OTU,9319,1,Fungi,,,,,,,,,,
37,OTU,9325,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,,,,,
775,OTU,9497,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,,,,,
715,OTU,9532,1,Fungi,,,,,,,,,,
236,OTU,9599,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,sp,SH007588.07FU,,
719,OTU,9606,1,Fungi,,,,,,,,,,
119,OTU,9677,1,Fungi,,,,,,,,,,
509,OTU,9679,1,Fungi,,,,,,,,,,
356,OTU,9682,1,Fungi,,,,,,,,,,
769,OTU,9695,1,Fungi,,,,,,,,,,
274,OTU,9708,1,Fungi,,,,,,,,,,
253,OTU,9721,1,Fungi,,,,,,,,,,
109,OTU,9734,1,Fungi,,,,,,,,,,
335,OTU,9760,1,Fungi,Chytridiomycota,unidentified,unidentified,unidentified,unidentified,Chytridiomycota,sp,SH015980.07FU,,
67,OTU,9766,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,minutissima,SH196780.07FU,,
139,OTU,9831,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,,,,,
650,OTU,9836,1,Fungi,,,,,,,,,,
758,OTU,9904,1,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,Ceratobasidiaceae,sp,SH008005.07FU,,
755,OTU,9972,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH015981.07FU,,
449,OTU,10008,1,Fungi,,,,,,,,,,
638,OTU,10016,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,globulifera,SH185972.07FU,,
586,OTU,10018,1,Fungi,Chytridiomycota,unidentified,unidentified,unidentified,unidentified,,,,,
742,OTU,10037,1,Fungi,,,,,,,,,,
286,OTU,10173,1,Fungi,Chytridiomycota,Chytridiomycetes,unidentified,unidentified,unidentified,Chytridiomycetes,sp,SH175387.07FU,,
355,OTU,10187,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
573,OTU,10221,1,Fungi,,,,,,,,,,
591,OTU,10230,1,Fungi,,,,,,,,,,
706,OTU,10258,1,Fungi,Zygomycota,Incertae,Mortierellales,Mortierellaceae,Mortierella,Mortierella,pseudozygospora,SH208762.07FU,,
476,OTU,10407,1,Fungi,,,,,,,,,,
8,OTU,10481,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
542,OTU,10496,1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,unidentified,unidentified,,,,,
590,OTU,10497,1,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,unidentified,Ceratobasidiaceae,sp,SH008005.07FU,,
192,OTU,10584,1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,unidentified,unidentified,Orbiliales,sp,SH010294.07FU,,
466,OTU,10587,1,Fungi,,,,,,,,,,
777,OTU,10591,1,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stephanosporaceae,,,,,,
589,OTU,10659,1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Postia,Postia,stiptica,SH189189.07FU,,
614,OTU,10742,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
219,OTU,10756,1,Fungi,,,,,,,,,,
396,OTU,10800,1,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Itersonilia,Itersonilia,perplexans,SH199072.07FU,,
595,OTU,10819,1,Fungi,,,,,,,,,,
125,OTU,10912,1,Fungi,Basidiomycota,Tremellomycetes,unidentified,unidentified,unidentified,Tremellomycetes,sp,SH194012.07FU,,
113,OTU,10931,1,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Incertae,Minimedusa,Minimedusa,polyspora,SH201127.07FU,,
481,OTU,11120,1,Fungi,,,,,,,,,,
501,OTU,11191,1,Fungi,,,,,,,,,,
81,OTU,11227,1,Fungi,,,,,,,,,,
38,OTU,11234,1,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota,sp,SH217934.07FU,,
77,OTU,11250,1,Fungi,,,,,,,,,,
688,OTU,11263,1,Fungi,Basidiomycota,Exobasidiomycetes,,,,,,,,
726,OTU,11390,1,Fungi,,,,,,,,,,
142,OTU,11400,1,Fungi,Chytridiomycota,,,,,,,,,
325,OTU,11414,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
450,OTU,11465,1,Fungi,,,,,,,,,,
665,OTU,11509,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,,,,,
160,OTU,11550,1,Fungi,,,,,,,,,,
305,OTU,11624,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria,californica,SH197588.07FU,,
422,OTU,11675,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria,californica,SH197588.07FU,,
170,OTU,11685,1,Fungi,Chytridiomycota,Chytridiomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Spizellomyces,lactosolyticus,SH210195.07FU,,
561,OTU,11689,1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,,,,,
350,OTU,11714,1,Fungi,,,,,,,,,,
301,OTU,11758,1,Fungi,,,,,,,,,,
474,OTU,11840,1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,unidentified,,,,,
536,OTU,11852,1,Fungi,Chytridiomycota,unidentified,unidentified,unidentified,unidentified,Chytridiomycota,sp,SH466107.07FU,,
289,OTU,11878,1,Fungi,,,,,,,,,,
771,OTU,11902,1,Fungi,,,,,,,,,,
526,OTU,12135,1,Fungi,,,,,,,,,,
56,OTU,12264,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
27,OTU,12280,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
749,OTU,12333,1,Fungi,,,,,,,,,,
504,OTU,12362,1,Fungi,,,,,,,,,,
58,OTU,12411,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
563,OTU,12447,1,Fungi,,,,,,,,,,
343,OTU,12449,1,Fungi,,,,,,,,,,
94,OTU,12458,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
104,OTU,12479,1,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae,Cryptococcus,Cryptococcus,aerius,SH190019.07FU,,
187,OTU,12519,1,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,unidentified,unidentified,Sporidiobolales,sp,SH022903.07FU,,
195,OTU,12676,1,Fungi,,,,,,,,,,
723,OTU,12696,1,Fungi,Basidiomycota,Microbotryomycetes,,,,,,,,
770,OTU,12702,1,Fungi,,,,,,,,,,
489,OTU,12712,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvopluteus,Volvopluteus,gloiocephalus,SH221286.07FU,,
622,OTU,12732,1,Fungi,,,,,,,,,,
521,OTU,12922,1,Fungi,,,,,,,,,,
448,OTU,12931,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
181,OTU,12967,1,Fungi,,,,,,,,,,
776,OTU,13198,1,Fungi,,,,,,,,,,
100,OTU,13282,1,Fungi,Basidiomycota,Microbotryomycetes,,,,,,,,
734,OTU,13459,1,Fungi,,,,,,,,,,
340,OTU,13779,1,Fungi,,,,,,,,,,
417,OTU,13810,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
730,OTU,13898,1,Fungi,Ascomycota,,,,,,,,,
360,OTU,14023,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH206997.07FU,,
370,OTU,14061,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
459,OTU,14115,1,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,,,,,,
709,OTU,14234,1,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiaceae,Rhizophydium,Rhizophydium,sp,SH196848.07FU,,
221,OTU,14236,1,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,unidentified,unidentified,Trechisporales,sp,SH185925.07FU,,
625,OTU,14238,1,Fungi,Zygomycota,Incertae,Mucorales,Umbelopsidaceae,Umbelopsis,,,,,
663,OTU,14248,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena,albidolilacea,SH220718.07FU,,
744,OTU,14272,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
36,OTU,14649,1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae,Acremonium,Acremonium,persicinum,SH207979.07FU,,
390,OTU,14679,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,defibulatum,SH032811.07FU,,
519,OTU,14699,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH013384.07FU,,
293,OTU,14794,1,Fungi,,,,,,,,,,
711,OTU,14857,1,Fungi,Basidiomycota,Agaricomycetes,,,,,,,,
516,OTU,14878,1,Fungi,Basidiomycota,,,,,,,,,
197,OTU,14887,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Mastigobasidium,Mastigobasidium,sp,SH193777.07FU,,
656,OTU,14902,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
551,OTU,14918,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,,,,,,
677,OTU,14926,1,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,Agaricomycetes,sp,SH467304.07FU,,
685,OTU,15004,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
220,OTU,15092,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,,,,,,
273,OTU,15370,1,Fungi,,,,,,,,,,
128,OTU,15385,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,,,,,,
280,OTU,15674,1,Fungi,,,,,,,,,,
507,OTU,15684,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,unidentified,unidentified,,,,,
641,OTU,15753,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales,sp,SH013385.07FU,,
173,OTU,15844,1,Fungi,Basidiomycota,,,,,,,,,
780,OTU,15916,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Ramariopsis,Ramariopsis,sp,SH014393.07FU,,
779,OTU,16021,1,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi,sp,SH007891.07FU,,
371,OTU,16159,1,Fungi,,,,,,,,,,
214,OTU,16176,1,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,,,,,,,
434,OTU,16204,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,unidentified,Clavariaceae,sp,SH014395.07FU,,
630,OTU,16295,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,unidentified,Psathyrellaceae,sp,SH219038.07FU,,
388,OTU,16449,1,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,,,,,,,
304,OTU,16458,1,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae,Rhodotorula,,,,,
392,OTU,16466,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma,conicosericeum,SH221918.07FU,,
295,OTU,16501,1,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,,,,
262,OTU,16587,1,Fungi,,,,,,,,,,
88,OTU,16691,1,Fungi,,,,,,,,,,
201,OTU,16738,1,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,,,,,,
760,OTU,16787,1,Fungi,,,,,,,,,,
