ID,Site,LUIlevel,MAT,MAP,LUIwT,Nit,Mow,Graze,Till,Sand,Silt,Clay,pH,BD,EOC,ETN,totN,totC,CN,totP,CUE_G,CUE_N,CO2_G,CO2_N,MBC_G,MBC_N,PCOA16s1,PCOA16s2,PCOAits1,PCOAits2
KM1,aCrainlarich,Mid,5.45,1401.5,1.96,0.98,0,0.98,0,73.84,18.42,7.74,5.98,1.13,1650.63,478.00,0.31,2.89,8.05,1310.62,0.57,0.17,6.43,0.6,8.46,0.12,-0.169758971,0.078839784,-0.162173514,0.108918102
KM2,aCrainlarich,Mid,5.45,1401.5,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.19,0.93,2162.93,631.32,0.32,4.14,11.11,2232.71,0.67,0.29,7.23,0.99,14.78,0.4,-0.138980088,0.085878338,-0.141664449,0.118596195
KM3,aCrainlarich,Mid,5.45,1401.5,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.16,0.81,3329.31,673.65,0.4,5.24,11.29,1418.05,0.68,0.19,6.09,1.26,12.64,0.29,-0.148958066,0.061637582,-0.066515526,0.061492819
KM4,aCrainlarich,Mid,5.45,1401.5,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.22,0.94,2444.75,584.91,0.34,4.07,10.33,872.22,0.64,0.27,5.97,1.25,10.73,0.46,-0.132085207,0.061869249,-0.184163467,0.088332556
KM5,aCrainlarich,Mid,5.45,1401.5,1.96,0.98,0,0.98,0,73.84,18.42,7.74,6.17,0.91,2630.29,696.63,0.33,3.78,9.81,943.34,0.62,0.32,7.12,1.13,11.46,0.53,-0.173469075,0.021436726,-0.238916261,0.032884375
HWA1,bShotts,xHigh,7.4,1550,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.27,1.01,1540.06,1262.83,0.31,3.6,9.82,1105.82,0.72,0.5,4.78,0.64,12.24,0.63,-0.10945556,0.162482182,-0.046085011,0.248761178
HWA2,bShotts,xHigh,7.4,1550,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.03,1.06,957.29,651.50,0.31,3.58,9.74,773.63,0.62,0.43,5.67,0.34,9.14,0.26,-0.184249378,0.064813397,-0.097203686,0.207138648
HWA3,bShotts,xHigh,7.4,1550,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.18,1.14,981.51,756.98,0.25,3.64,12.64,968.91,0.75,0.52,5,0.53,14.98,0.57,-0.12768687,0.15850484,-0.035090271,0.250465166
HWA4,bShotts,xHigh,7.4,1550,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,5.84,0.88,1980.06,786.11,0.24,3.35,12.05,947.08,0.72,0.59,5.1,0.27,13.21,0.39,-0.132550708,0.091588368,-0.0604366,0.204555035
HWA5,bShotts,xHigh,7.4,1550,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.27,1.07,720.78,653.87,0.29,3.81,11.2,1166.14,0.66,0.52,5.71,0.54,11.06,0.58,-0.061176634,0.20557808,0.006134707,0.278827082
HWG1,bShotts,Low,7.4,1550,0.49,0,0,0.49,0,69.84,15.36,14.8,5.53,0.99,1469.58,573.26,0.34,4.32,10.84,1271.46,0.78,0.56,4.98,0.29,17.47,0.37,-0.26005553,-0.047003917,-0.059015593,-0.166034652
HWG2,bShotts,Low,7.4,1550,0.49,0,0,0.49,0,69.84,15.36,14.8,5.51,1.15,1992.62,521.07,0.41,4.76,9.99,785.2,0.73,0.61,5.56,0.23,14.66,0.36,-0.28712803,-0.102769739,0.045677106,-0.106065192
HWG3,bShotts,Low,7.4,1550,0.49,0,0,0.49,0,69.84,15.36,14.8,5.34,0.98,4558.81,1015.39,0.51,8.12,13.56,664.21,0.7,0.41,6.82,0.36,16.26,0.25,-0.256416058,-0.071633173,-0.188116378,0.109548122
HWG4,bShotts,Low,7.4,1550,0.49,0,0,0.49,0,69.84,15.36,14.8,5.67,0.95,2020.69,611.40,0.36,4.45,10.61,1039.01,0.66,0.31,9.42,0.45,18.41,0.2,-0.250580955,-0.011721888,-0.226240925,0.06664936
HWG5,bShotts,Low,7.4,1550,0.49,0,0,0.49,0,69.84,15.36,14.8,5.31,1.05,1333.66,544.74,0.4,4,8.61,899.87,0.67,0.52,7.54,0.21,15.15,0.23,-0.272978324,-0.094848274,-0.200727221,0.094452571
HWM1,bShotts,Mid,7.4,1550,2.01,0.66,0,1.34,0,69.23,16.57,14.2,6.02,1.05,1925.55,611.63,0.34,4.69,11.95,765,0.75,0.46,5.3,0.59,15.92,0.5,-0.205563975,0.082863442,-0.13982832,0.207790025
HWM2,bShotts,Mid,7.4,1550,2.01,0.66,0,1.34,0,69.23,16.57,14.2,5.96,0.96,2500.73,741.64,0.4,5.09,10.83,1240.94,0.72,0.36,6.08,0.76,15.75,0.42,-0.1688551,0.115300037,-0.098872894,0.185294337
HWM3,bShotts,Mid,7.4,1550,2.01,0.66,0,1.34,0,69.23,16.57,14.2,6.07,0.93,1393.77,663.75,0.43,5.25,10.54,1305.75,0.75,0.41,5.4,0.8,15.9,0.56,-0.148056358,0.147334299,-0.104208234,0.261129916
HWM4,bShotts,Mid,7.4,1550,2.01,0.66,0,1.34,0,69.23,16.57,14.2,5.88,1,1274.52,514.53,0.34,5.3,13.32,1039.38,0.65,0.57,5.54,0.38,10.11,0.5,-0.218400078,0.058786511,-0.163106228,0.194289356
HWM5,bShotts,Mid,7.4,1550,2.01,0.66,0,1.34,0,69.23,16.57,14.2,6.14,1,1456.84,495.94,0.35,4.81,11.92,934.64,0.67,0.45,5.39,0.82,11.08,0.68,-0.212107247,0.060945479,-0.138095231,0.212619126
CPM1,Chapel-le-Dale,xHigh,7.55,1092.7,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.61,0.6,1830.80,912.68,0.9,8.33,7.94,1242.7,0.62,0.52,8.76,0.32,14.35,0.35,-0.132801311,0.078842264,-0.191562848,-0.01071641
CPM2,Chapel-le-Dale,xHigh,7.55,1092.7,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.51,0.6,1117.50,775.15,0.88,8.72,8.51,1480.35,0.68,0.59,7.59,0.33,15.83,0.47,-0.09128274,0.102495424,-0.164370161,0.03118001
CPM3,Chapel-le-Dale,xHigh,7.55,1092.7,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.69,0.62,1790.75,1225.87,0.74,7.77,8.98,1352,0.67,0.47,7.81,0.41,16.09,0.37,-0.226853274,-0.028142352,-0.276613517,-0.080991795
CPM4,Chapel-le-Dale,xHigh,7.55,1092.7,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.75,0.73,754.80,725.38,0.58,6.27,9.24,1066.99,0.66,0.52,6.88,0.36,13.09,0.39,-0.176353166,-0.012837816,-0.23309565,-0.054902032
CPM5,Chapel-le-Dale,xHigh,7.55,1092.7,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.82,0.69,894.79,753.67,0.76,6.4,7.25,1936.07,0.67,0.54,8.39,0.28,16.93,0.34,-0.140540023,0.063595793,-0.154301893,0.0036901
CPC1,Chapel-le-Dale,Low,7.55,1092.7,3.7,0,2,1.7,0,50.12,20.2,29.69,5.6,0.61,740.66,645.44,0.7,7.58,9.26,1914.14,0.69,0.44,7.32,0.63,16.05,0.5,-0.169697113,0.048128856,-0.254213698,-0.036577389
CPC2,Chapel-le-Dale,Low,7.55,1092.7,3.7,0,2,1.7,0,50.12,20.2,29.69,5.54,0.61,1092.74,773.42,0.59,5.81,8.4,1734.86,0.68,0.4,8.37,0.62,18.03,0.41,-0.104332234,0.116478087,-0.228538776,0.010017978
CPC3,Chapel-le-Dale,Low,7.55,1092.7,3.7,0,2,1.7,0,50.12,20.2,29.69,5.29,0.63,2309.60,773.36,0.75,8.33,9.54,1460.91,0.69,0.51,7.8,0.52,17.26,0.54,-0.280869323,-0.097711231,-0.338275945,-0.140488634
CPC4,Chapel-le-Dale,Low,7.55,1092.7,3.7,0,2,1.7,0,50.12,20.2,29.69,5.74,0.7,725.16,389.00,0.63,6.62,9.06,1378.16,0.65,0.43,6.67,0.47,12.15,0.34,-0.272835235,-0.107313154,-0.302951538,-0.157193706
CPC5,Chapel-le-Dale,Low,7.55,1092.7,3.7,0,2,1.7,0,50.12,20.2,29.69,5.61,0.69,755.09,330.33,0.52,5.53,9.12,1122.37,0.6,0.43,6.94,1.11,10.4,0.82,-0.249134744,-0.095946897,-0.299683329,-0.176854065
CPF1,Chapel-le-Dale,Mid,7.55,1092.7,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.63,0.62,694.49,521.47,0.81,7.71,8.18,1798.29,0.7,0.49,6.78,0.53,15.59,0.51,-0.110542777,0.071560633,-0.170803194,-0.048312795
CPF2,Chapel-le-Dale,Mid,7.55,1092.7,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.69,0.68,706.11,458.62,0.75,7.2,8.21,1387.19,0.7,0.56,5.82,0.45,13.88,0.56,-0.227649307,-0.045629367,-0.292405519,-0.103765804
CPF3,Chapel-le-Dale,Mid,7.55,1092.7,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.51,0.68,797.70,410.62,0.71,6.91,8.36,1410.58,0.63,0.56,7.41,0.25,12.38,0.32,-0.225559092,-0.099676435,-0.3154258,-0.146171655
CPF4,Chapel-le-Dale,Mid,7.55,1092.7,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.62,0.69,964.18,147.91,0.6,6.13,8.69,1782.46,0.6,0.43,7.38,0.25,11.15,0.19,-0.268354631,-0.13650355,-0.330762492,-0.146421619
CPF5,Chapel-le-Dale,Mid,7.55,1092.7,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.54,0.7,808.38,323.63,0.57,6.26,9.47,1870.69,0.66,0.55,6.1,0.31,12.05,0.38,-0.269942458,-0.137728456,-0.294112386,-0.141919724
MCA1,dPreston,xHigh,10,1033.6,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.51,0.81,1170.97,1113.88,0.55,5.22,8.19,1005.93,0.67,0.35,4.35,0.92,8.76,0.49,0.216934917,0.185637344,0.181738773,0.237877639
MCA2,dPreston,xHigh,10,1033.6,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.6,0.96,868.79,929.81,0.5,4.65,7.96,514,0.67,0.59,3.8,0.66,7.8,0.96,0.243442426,0.149067636,0.189723489,0.214364839
MCA3,dPreston,xHigh,10,1033.6,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.53,0.92,1098.85,922.73,0.58,5.5,8.08,1354.35,0.63,0.33,5.11,0.83,8.52,0.41,0.182183406,0.157844836,0.142624761,0.216081723
MCA4,dPreston,xHigh,10,1033.6,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,7.53,1.16,1512.43,523.35,0.29,3.57,10.5,1021.04,0.88,0.79,1.41,0.21,10.41,0.78,0.298677593,0.11942364,0.21990531,0.191390401
MCA5,dPreston,xHigh,10,1033.6,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.67,0.93,878.31,886.18,0.49,5.15,9.06,1014.43,0.7,0.5,3.93,0.8,9.17,0.8,0.167782128,0.189058219,0.171488433,0.218542557
MCG1,dPreston,Low,10,1033.6,0,0,0,0,0,53.02,18.56,28.42,6.53,0.68,1282.82,938.46,0.69,7.62,9.39,1740.69,0.6,0.42,8.94,1,13.54,0.73,0.139124414,0.165066198,0.112138232,0.12787718
MCG2,dPreston,Low,10,1033.6,0,0,0,0,0,53.02,18.56,28.42,7.82,0.98,1599.48,643.61,0.52,5.74,9.38,1883,0.88,0.82,1.18,0.21,8.68,0.96,0.240872298,0.092991089,0.157785812,0.073568309
MCG3,dPreston,Low,10,1033.6,0,0,0,0,0,53.02,18.56,28.42,6.04,0.75,972.47,735.28,0.69,7.13,8.92,1375.6,0.4,0.83,7.2,0.39,4.83,1.95,-0.084384467,0.108787418,-0.05651299,0.110795211
MCG4,dPreston,Low,10,1033.6,0,0,0,0,0,53.02,18.56,28.42,6.43,0.76,1719.40,1015.41,0.65,6.42,8.46,1201.88,0.57,0.28,7.34,0.99,9.66,0.38,0.178337272,0.108905689,0.066881084,0.061121043
MCG5,dPreston,Low,10,1033.6,0,0,0,0,0,53.02,18.56,28.42,6.12,0.9,1186.17,848.71,0.6,6.45,9.26,1430.01,0.51,0.32,8.22,0.59,8.64,0.28,-0.017457962,0.169474523,0.018785382,0.141051889
MCM1,dPreston,Mid,10,1033.6,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.73,0.98,1304.32,731.69,0.47,5.06,9.26,1297.51,0.42,0.3,6.46,1.18,4.59,0.52,0.024801682,0.198936183,0.078098476,0.24686344
MCM2,dPreston,Mid,10,1033.6,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.61,1.06,1147.04,832.30,0.38,4.23,9.65,1240.17,0.37,0.45,6.5,0.69,3.9,0.57,0.000376364,0.177303852,0.067265055,0.243349744
MCM3,dPreston,Mid,10,1033.6,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.72,0.97,1197.13,760.23,0.45,4.31,8.22,1340.37,0.37,0.82,6.1,0.75,3.56,3.33,0.009027431,0.215427628,0.075386506,0.274583528
MCM4,dPreston,Mid,10,1033.6,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.23,0.98,1167.98,1070.91,0.41,3.73,7.76,1285.64,0.63,0.26,4.94,0.77,8.51,0.27,0.059090734,0.226837418,0.08377482,0.273077338
MCM5,dPreston,Mid,10,1033.6,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.65,1.14,822.30,655.54,0.35,3.21,7.79,1216.2,0.42,0.8,5.29,0.37,3.8,1.46,0.048822907,0.217452681,0.091132744,0.264926785
SFA1,eWymondham,xHigh,9.9,608.9,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.2,1.34,5603.74,878.84,0.18,2.31,11.25,831.16,0.67,0.96,4.38,0.07,8.92,1.84,-0.07129615,0.027719553,0.146987931,0.09398429
SFA2,eWymondham,xHigh,9.9,608.9,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.05,1.42,4056.71,1423.23,0.31,2.91,8.07,521.42,0.31,0.97,3.92,0.07,1.72,2.29,-0.040890018,0.13382282,0.176140159,0.097351295
SFA3,eWymondham,xHigh,9.9,608.9,6.71,2.56,0,0,4.15,60.62,16.52,22.86,5.97,1.42,4754.90,786.25,0.22,2.03,7.8,466.92,0.28,0.92,4.19,0.13,1.66,1.49,-0.060801788,0.064425194,0.152596081,0.096735117
SFA4,eWymondham,xHigh,9.9,608.9,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.41,1.41,847.74,410.12,0.29,2.63,7.86,664.71,0.58,0.8875,3.76,0.09,5.19,1.465,0.078770255,0.174734376,0.198936293,0.109128179
SFA5,eWymondham,xHigh,9.9,608.9,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.7,1.48,1421.24,286.08,0.2,2.07,8.83,444.39,0.44,0.7,3.34,0.1,2.67,0.24,0.059890311,0.114814828,0.197898559,0.081069724
SFM1,eWymondham,Low,9.9,608.9,2,0,2,0,0,56.05,16.7,27.25,5.84,0.94,767.94,230.52,0.47,4.72,8.64,1076.22,0.41,0.19,5.11,0.84,5.07,0.12,-0.022972671,0.190788332,0.025037173,0.147886005
SFM2,eWymondham,Low,9.9,608.9,2,0,2,0,0,56.05,16.7,27.25,6.45,1.09,665.14,338.01,0.31,3.14,8.68,1201.88,0.56,0.78,4.86,0.24,7.88,1.58,-0.070433323,0.163168592,0.002480382,0.115265415
SFM3,eWymondham,Low,9.9,608.9,2,0,2,0,0,56.05,16.7,27.25,5.9,1.09,762.79,156.92,0.26,3.24,10.7,787.61,0.59,0.92,7.64,0.94,7.75,2.36,-0.15725243,0.050622494,-0.068581546,0.094962813
SFM4,eWymondham,Low,9.9,608.9,2,0,2,0,0,56.05,16.7,27.25,6.34,0.99,975.48,385.99,0.34,3.83,9.53,1210.79,0.36,0.91,5.07,0.61,3.19,3.04,-0.079586595,0.134152859,-0.024575165,0.121342055
SFM5,eWymondham,Low,9.9,608.9,2,0,2,0,0,56.05,16.7,27.25,6.44,0.99,837.99,277.48,0.25,3.55,12.18,777.75,0.46,0.77,7.83,0.69,5.19,1.94,-0.074164824,0.158494878,-0.013456795,0.139166845
SFG1,eWymondham,Mid,9.9,608.9,2.23,0,2,0.23,0,58.29,16.63,25.08,7.03,0.99,1058.66,347.55,0.44,4.57,8.89,1095.82,0.59,0.57,7.21,0.51,7.45,1.09,0.023251942,0.147671273,0.054522045,-0.024588554
SFG2,eWymondham,Mid,9.9,608.9,2.23,0,2,0.23,0,58.29,16.63,25.08,6.74,1.06,3685.39,1179.12,0.4,4.47,9.68,941.37,0.63,0.76,6.27,0.43,8.46,0.78,0.198265029,0.085728151,0.166101556,-0.091838464
SFG3,eWymondham,Mid,9.9,608.9,2.23,0,2,0.23,0,58.29,16.63,25.08,7,1.02,4372.81,1688.04,0.39,4.99,10.89,713,0.44,0.53,5.38,0.2,5.94,1.04,0.090193819,0.136242283,0.060549619,-0.065335642
SFG4,eWymondham,Mid,9.9,608.9,2.23,0,2,0.23,0,58.29,16.63,25.08,6.69,1.03,3282.70,1515.52,0.41,4.62,9.59,868.27,0.48,0.64,5.68,0.28,4.62,1.07,0.14507654,0.162454697,0.131673464,-0.018087256
SFG5,eWymondham,Mid,9.9,608.9,2.23,0,2,0.23,0,58.29,16.63,25.08,6.41,0.87,4479.68,1870.17,0.51,5.34,8.93,964.33,0.47,0.46,6.19,0.56,6.99,0.59,0.359944466,0.005576139,0.234312695,-0.08799465
AC1,fAberystwyth,xHigh,8.55,1856.5,3.63,0.88,2,0.75,0,48.84,27.27,23.9,5.39,0.84,4214.24,601.15,0.6,5.6,8.04,1136.88,0.57,0.2,10.82,0.91,14.1,0.23,0.232561317,-0.013089458,-0.15577167,0.000616947
AC2,fAberystwyth,xHigh,8.55,1856.5,3.63,0.88,2,0.75,0,48.84,27.27,23.9,5.7,0.77,2181.54,540.59,0.46,4.31,7.96,1136.88,0.48,0.21,9.01,0.87,8.33,0.23,-0.217226814,-0.077539653,-0.233165215,-0.100597647
AC3,fAberystwyth,xHigh,8.55,1856.5,3.63,0.88,2,0.75,0,48.84,27.27,23.9,5.26,0.72,3084.83,771.02,0.6,6.23,8.86,1136.88,0.57,0.22,10.75,0.96,14.25,0.28,-0.255948624,-0.171567581,-0.297061721,-0.160196967
AC4,fAberystwyth,xHigh,8.55,1856.5,3.63,0.88,2,0.75,0,48.84,27.27,23.9,5.65,0.55,2916.07,664.47,0.57,6.69,10.02,1136.88,0.66,0.2,7.36,1.47,14.01,0.37,-0.195715945,-0.041132242,-0.238439647,-0.05706555
AC5,fAberystwyth,xHigh,8.55,1856.5,3.63,0.88,2,0.75,0,48.84,27.27,23.9,5.35,0.68,2623.69,575.77,0.52,4.89,8.09,1136.88,0.57,0.25,7.81,0.95,10.41,0.32,-0.202487212,-0.092825772,-0.19493935,-0.116317654
AG1,fAberystwyth,Low,8.55,1856.5,0.79,0,0,0.79,0,47.08,28.54,24.38,6.03,0.59,1179.02,390.99,0.59,6.05,8.74,842.77,0.62,0.2,9.48,0.74,15.75,0.19,-0.235577148,-0.258155625,-0.224372434,-0.201056598
AG2,fAberystwyth,Low,8.55,1856.5,0.79,0,0,0.79,0,47.08,28.54,24.38,6.24,0.61,3440.30,421.21,0.49,5.4,9.45,842.77,0.54,0.19,12.56,0.59,14.56,0.13,-0.25597231,-0.181036545,-0.282521141,-0.214349988
AG3,fAberystwyth,Low,8.55,1856.5,0.79,0,0,0.79,0,47.08,28.54,24.38,5.94,0.66,3467.69,570.74,0.59,6.09,8.92,842.77,0.58,0.13,11.98,0.71,16.87,0.1,-0.245864901,-0.208130139,-0.27949032,-0.222723224
AG4,fAberystwyth,Low,8.55,1856.5,0.79,0,0,0.79,0,47.08,28.54,24.38,6.94,0.67,2002.47,393.01,0.58,6.38,9.41,842.77,0.6,0.19,8.84,0.84,13.44,0.2,-0.251790312,-0.170260879,-0.228929754,-0.210831844
AG5,fAberystwyth,Low,8.55,1856.5,0.79,0,0,0.79,0,47.08,28.54,24.38,5.81,0.76,2217.65,649.67,0.57,6.05,9.13,842.77,0.59,0.27,9.92,0.65,14.14,0.23,-0.254002838,-0.247613216,-0.277664797,-0.207965747
AH/G1,fAberystwyth,Mid,8.55,1856.5,2.23,0,2,0.23,0,49.8,27.01,23.19,5.62,0.73,4085.70,408.81,0.6,5.55,7.9,999.71,0.66,0.03,9.36,0.71,18.57,0.03,-0.271672345,-0.175980915,-0.275825365,-0.196502444
AH/G2,fAberystwyth,Mid,8.55,1856.5,2.23,0,2,0.23,0,49.8,27.01,23.19,5.35,0.7,3829.73,310.86,0.65,7.14,9.37,999.71,0.74,0.11,8.32,0.7,23.32,0.09,-0.275099014,-0.315366572,-0.235963103,-0.229735034
AH/G3,fAberystwyth,Mid,8.55,1856.5,2.23,0,2,0.23,0,49.8,27.01,23.19,5.43,0.74,3517.10,437.24,0.66,7.58,9.86,999.71,0.7,0.12,9.45,0.69,21.57,0.09,-0.28019929,-0.281133987,-0.246527688,-0.264709821
AH/G4,fAberystwyth,Mid,8.55,1856.5,2.23,0,2,0.23,0,49.8,27.01,23.19,5.31,0.82,1310.73,415.32,0.69,7.64,9.46,999.71,0.705,0.36,8.915,0.71,15.24,0.4,-0.18363791,-0.348409078,-0.185281786,-0.268388638
AH/G5,fAberystwyth,Mid,8.55,1856.5,2.23,0,2,0.23,0,49.8,27.01,23.19,5.46,0.64,5639.93,487.52,0.69,8.35,10.3,999.71,0.72,0.155,8.53,0.69,21.51,0.1525,-0.225012564,-0.061010573,-0.238687298,-0.152617959
HFA1,gKnapwell,xHigh,10.45,568.1,4.92,2.84,0,0,2.08,55.08,16.12,28.8,8.14,1.26,641.39,200.21,0.36,4.38,10.44,885.67,0.81,0.85,1.87,0.14,8.12,0.78,0.44345047,-0.124000505,0.395320002,-0.197351093
HFA2,gKnapwell,xHigh,10.45,568.1,4.92,2.84,0,0,2.08,55.08,16.12,28.8,8.1,1.2,609.23,321.25,0.26,3.9,13,975.46,0.79,0.83,2.09,0.14,7.87,0.72,0.44884345,-0.118172243,0.398432862,-0.204747252
HFA3,gKnapwell,xHigh,10.45,568.1,4.92,2.84,0,0,2.08,55.08,16.12,28.8,8.08,1.15,807.49,169.15,0.39,4.15,9.21,972.88,0.73,0.82,2.35,0.16,6.31,0.74,0.453035492,-0.106171,0.401277555,-0.193517761
HFA4,gKnapwell,xHigh,10.45,568.1,4.92,2.84,0,0,2.08,55.08,16.12,28.8,8.02,1.19,615.81,274.57,0.4,4.2,8.95,946.86,0.83,0.9,1.51,0.09,7.58,0.78,0.419061244,-0.144868839,0.048998281,-0.118838571
HFA5,gKnapwell,xHigh,10.45,568.1,4.92,2.84,0,0,2.08,55.08,16.12,28.8,8.07,1.13,540.59,226.02,0.36,4.26,10.09,670.37,0.86,0.93,1.24,0.07,7.83,1.05,0.466912941,-0.116537953,0.416748262,-0.183607487
HFG1,gKnapwell,Low,10.45,568.1,1.67,0,0,1.67,0,51.1,17.68,31.22,8.02,0.86,923.32,261.50,0.6,6.47,9.19,1172.41,0.83,0.73,2.49,0.43,12.58,1.19,0.287021644,-0.112904448,0.096751621,-0.13120481
HFG2,gKnapwell,Low,10.45,568.1,1.67,0,0,1.67,0,51.1,17.68,31.22,7.67,0.82,942.65,496.30,0.67,7.28,9.37,950.36,0.87,0.7,2.36,0.52,15.76,1.19,0.43554733,-0.074790134,0.291294373,-0.068826195
HFG3,gKnapwell,Low,10.45,568.1,1.67,0,0,1.67,0,51.1,17.68,31.22,7.45,0.81,1845.90,848.06,0.71,6.97,8.37,1344.25,0.78,0.48,4.18,0.7,14.42,0.66,0.425676938,-0.047424023,-0.048667939,-0.106829491
HFG4,gKnapwell,Low,10.45,568.1,1.67,0,0,1.67,0,51.1,17.68,31.22,7.99,0.81,693.03,486.08,0.62,6.67,9.28,1050.05,0.79,0.6,3.69,0.66,13.51,0.98,0.40617474,-0.025146976,0.273127833,-0.017225535
HFG5,gKnapwell,Low,10.45,568.1,1.67,0,0,1.67,0,51.1,17.68,31.22,8.08,0.88,890.95,546.93,0.73,7.84,9.26,1076.38,0.85,0.73,2.25,0.43,12.64,1.15,0.444565659,-0.114235271,0.283436196,-0.101387189
HFM1,gKnapwell,Mid,10.45,568.1,2,0,2,0,0,54.3,16.58,29.11,8.22,1.19,509.71,206.95,0.36,4.56,11,1031.26,0.76,0.8,1.96,0.16,6.26,0.66,0.458214117,-0.12228053,0.379101447,-0.204796532
