,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
518,OTU,13108,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
771,OTU,13110,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
147,OTU,13111,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67,,
1526,OTU,13112,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,,
1091,OTU,13113,,1,Bacteria,Acidobacteria,[Chloracidobacteria],DS-100,,,
410,OTU,13115,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1360,OTU,13116,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1881,OTU,13117,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacteraceae,,
109,OTU,13118,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1018,OTU,13119,,1,Bacteria,Acidobacteria,[Chloracidobacteria],DS-100,,,
839,OTU,13121,,1,Bacteria,Planctomycetes,,,,,
282,OTU,13123,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
719,OTU,13128,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1188,OTU,13129,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
322,OTU,13132,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1450,OTU,13136,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1659,OTU,13141,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1135,OTU,13142,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
787,OTU,13145,,1,Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,,,
1204,OTU,13154,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1335,OTU,13161,,1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,
1466,OTU,13169,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
569,OTU,13170,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1312,OTU,13172,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
2283,OTU,13174,,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
1602,OTU,13195,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
1256,OTU,13196,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1302,OTU,13200,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
914,OTU,13204,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1502,OTU,13209,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1126,OTU,13212,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
2015,OTU,13213,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
578,OTU,13223,,1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,
1220,OTU,13253,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1715,OTU,13254,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1453,OTU,13258,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1708,OTU,13259,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2106,OTU,13263,,1,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,
1663,OTU,13264,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
659,OTU,13283,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
21,OTU,13287,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
2004,OTU,13296,,1,Bacteria,Verrucomicrobia,Opitutae,,,,
60,OTU,13300,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
2197,OTU,13303,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1909,OTU,13310,,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
1910,OTU,13318,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1778,OTU,13324,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
2047,OTU,13329,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1386,OTU,13340,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1299,OTU,13354,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
606,OTU,13356,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
621,OTU,13359,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
1129,OTU,13363,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1399,OTU,13382,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
565,OTU,13385,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67,,
2256,OTU,13391,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],OPB35,,
1588,OTU,13396,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Chthoniobacter,
1780,OTU,13402,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
991,OTU,13415,,1,Bacteria,Planctomycetes,OM190,CL500-15,,,
2174,OTU,13423,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1739,OTU,13438,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1819,OTU,13439,,1,Bacteria,WS3,PRR-12,Sediment-1,,,
1695,OTU,13445,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2231,OTU,13450,,1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
2021,OTU,13460,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1710,OTU,13477,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
2188,OTU,13478,,1,Bacteria,Verrucomicrobia,[Methylacidiphilae],S-BQ2-57,,,
1795,OTU,13488,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1951,OTU,13491,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
1779,OTU,13492,,1,Bacteria,Verrucomicrobia,[Methylacidiphilae],S-BQ2-57,,,
1914,OTU,13505,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1347,OTU,13514,,1,Bacteria,WS3,PRR-12,Sediment-1,CV106,,
1782,OTU,13517,,1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
1579,OTU,13520,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
1834,OTU,13528,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces,
1077,OTU,13538,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
1585,OTU,13554,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
1319,OTU,13559,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,,
662,OTU,13573,,1,Bacteria,Planctomycetes,C6,d113,,,
1267,OTU,13589,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
2059,OTU,13593,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,,
2159,OTU,13597,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],OPB35,,
2116,OTU,13601,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,
1989,OTU,13612,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1566,OTU,13614,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],,
1876,OTU,13624,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
1906,OTU,13630,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],DA101,
1554,OTU,13675,,1,Bacteria,Planctomycetes,C6,d113,,,
1837,OTU,13676,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],Ellin517,,
1258,OTU,13678,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1633,OTU,13699,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
2267,OTU,13707,,1,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],,,
1591,OTU,13716,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,,
770,OTU,13725,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
332,OTU,13744,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],Chthoniobacter,
2207,OTU,13746,,1,Bacteria,Verrucomicrobia,[Spartobacteria],[Chthoniobacterales],[Chthoniobacteraceae],OR-59,
1941,OTU,13753,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,,,
