,OTU,#,counts total,Group,Kingdom,Phylum,Class,Order,Family,Genus,Species
1,OTU,26262,,1,Bacteria,Chloroflexi,Ellin6529,,,,
1609,OTU,26264,,1,Bacteria,Planctomycetes,Planctomycetia,B97,,,
348,OTU,26266,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,koll13,,
1877,OTU,26267,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
130,OTU,26274,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
63,OTU,26275,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
235,OTU,26278,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
342,OTU,26280,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
1019,OTU,26283,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
153,OTU,26284,,1,Bacteria,Chloroflexi,Gitt-GS-136,,,,
180,OTU,26285,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
273,OTU,26287,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
289,OTU,26300,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
40,OTU,26303,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
388,OTU,26304,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
244,OTU,26306,,1,Bacteria,Chloroflexi,Gitt-GS-136,,,,
774,OTU,26307,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1193,OTU,26313,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
122,OTU,26314,,1,Bacteria,Chloroflexi,TK10,AKYG885,5B-12,,
49,OTU,26315,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
177,OTU,26319,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
292,OTU,26322,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
364,OTU,26323,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,koll13,,
397,OTU,26328,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1361,OTU,26329,,1,Bacteria,Chloroflexi,Anaerolineae,A31,S47,,
1030,OTU,26330,,1,Bacteria,Cyanobacteria,Chloroplast,Chlorophyta,,,
951,OTU,26331,,1,Bacteria,Chloroflexi,Anaerolineae,CFB-26,,,
685,OTU,26333,,1,Bacteria,Chloroflexi,TK10,AKYG885,5B-12,,
463,OTU,26335,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
660,OTU,26336,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
799,OTU,26338,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,TK06,,
591,OTU,26339,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
992,OTU,26345,,1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,
603,OTU,26347,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
1923,OTU,26348,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
469,OTU,26352,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
667,OTU,26355,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
695,OTU,26358,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
647,OTU,26363,,1,Bacteria,Chloroflexi,Anaerolineae,A31,S47,,
222,OTU,26364,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
1032,OTU,26366,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
7,OTU,26368,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
1080,OTU,26372,,1,Bacteria,Chloroflexi,Anaerolineae,H39,,,
709,OTU,26380,,1,Bacteria,Chloroflexi,Anaerolineae,H39,,,
1522,OTU,26385,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
960,OTU,26393,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
538,OTU,26394,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
850,OTU,26399,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
1893,OTU,26401,,1,Bacteria,TM7,TM7-1,,,,
920,OTU,26409,,1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,
1342,OTU,26411,,1,Bacteria,Chloroflexi,Anaerolineae,A31,S47,,
1456,OTU,26416,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1976,OTU,26417,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
936,OTU,26418,,1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,,
1132,OTU,26419,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
1222,OTU,26421,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,,
1245,OTU,26424,,1,Bacteria,Chloroflexi,TK10,AKYG885,5B-12,,
664,OTU,26425,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1115,OTU,26432,,1,Bacteria,Chloroflexi,Anaerolineae,WCHB1-50,,,
560,OTU,26438,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
989,OTU,26439,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
815,OTU,26441,,1,Bacteria,Chloroflexi,Thermomicrobia,,,,
1900,OTU,26442,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
790,OTU,26444,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1438,OTU,26457,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1295,OTU,26461,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1766,OTU,26465,,1,Bacteria,Chloroflexi,Anaerolineae,CFB-26,,,
1230,OTU,26476,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1070,OTU,26480,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1995,OTU,26481,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1871,OTU,26483,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,,
1800,OTU,26485,,1,Bacteria,Chloroflexi,Anaerolineae,CFB-26,,,
1300,OTU,26491,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
778,OTU,26495,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1439,OTU,26500,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1138,OTU,26503,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
740,OTU,26506,,1,Bacteria,TM7,TM7-1,,,,
1052,OTU,26513,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1280,OTU,26514,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
1147,OTU,26517,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1557,OTU,26520,,1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,
687,OTU,26521,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1552,OTU,26523,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
609,OTU,26533,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1849,OTU,26545,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1567,OTU,26549,,1,Bacteria,Chloroflexi,Anaerolineae,envOPS12,,,
1615,OTU,26550,,1,Bacteria,Chloroflexi,Anaerolineae,GCA004,,,
1832,OTU,26554,,1,Bacteria,Chloroflexi,Anaerolineae,WCHB1-50,,,
1836,OTU,26562,,1,Bacteria,Chloroflexi,Anaerolineae,CFB-26,,,
1454,OTU,26565,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
2102,OTU,26567,,1,Bacteria,Chloroflexi,Anaerolineae,Ardenscatenales,Ardenscatenaceae,Ardenscatena,
1608,OTU,26569,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
1967,OTU,26572,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2280,OTU,26576,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2202,OTU,26581,,1,Bacteria,Chloroflexi,Anaerolineae,,,,
1825,OTU,26582,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
264,OTU,26584,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
758,OTU,26592,,1,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,AK1AB1,,
1455,OTU,26597,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
852,OTU,26605,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
2153,OTU,26608,,1,Bacteria,Chloroflexi,,,,,
1057,OTU,26610,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1062,OTU,26614,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
1726,OTU,26623,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
2017,OTU,26625,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,,
1858,OTU,26628,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1764,OTU,26642,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
352,OTU,26648,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1643,OTU,26652,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
2133,OTU,26676,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1063,OTU,26679,,1,Bacteria,TM7,TM7-1,,,,
2036,OTU,26680,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
785,OTU,26682,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
982,OTU,26684,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1254,OTU,26693,,1,Bacteria,Chloroflexi,P2-11E,,,,
1916,OTU,26698,,1,Bacteria,Chloroflexi,Anaerolineae,H39,,,
1937,OTU,26700,,1,Bacteria,Armatimonadetes,[Fimbriimonadia],[Fimbriimonadales],,,
2168,OTU,26729,,1,Bacteria,Chloroflexi,TK10,AKYG885,,,
1215,OTU,26731,,1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Streptosporangium,
1928,OTU,26742,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
69,OTU,26744,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
1496,OTU,26765,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1313,OTU,26766,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
492,OTU,26770,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
2142,OTU,26771,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2110,OTU,26794,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2150,OTU,26828,,1,Bacteria,TM7,TM7-1,,,,
1963,OTU,26833,,1,Bacteria,,,,,,
1611,OTU,26845,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
811,OTU,26864,,1,Bacteria,Chloroflexi,Anaerolineae,A31,S47,,
1716,OTU,26898,,1,Bacteria,Acidobacteria,[Chloracidobacteria],PK29,,,
1815,OTU,26900,,1,Bacteria,TM7,TM7-1,,,,
1288,OTU,26907,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1665,OTU,26913,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Plesiocystis,
1758,OTU,26925,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2266,OTU,26928,,1,Bacteria,TM7,TM7-1,,,,
1495,OTU,26938,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
1736,OTU,26942,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1647,OTU,26943,,1,Bacteria,Chloroflexi,Chloroflexi,Herpetosiphonales,,,
200,OTU,26955,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Skermanella,
1216,OTU,26956,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
373,OTU,26972,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1915,OTU,26973,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2178,OTU,27003,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,OM27,,
2069,OTU,27014,,1,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,FFCH10602,
1908,OTU,27047,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
2218,OTU,27066,,1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,
2119,OTU,27077,,1,Bacteria,Chloroflexi,Anaerolineae,H39,,,
1787,OTU,27089,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1389,OTU,27091,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1920,OTU,27102,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
2171,OTU,27104,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2271,OTU,27106,,1,Bacteria,TM7,TM7-1,,,,
1637,OTU,27113,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
2278,OTU,27124,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1958,OTU,27127,,1,Bacteria,Chloroflexi,Anaerolineae,GCA004,,,
2210,OTU,27155,,1,Bacteria,TM7,TM7-1,,,,
1984,OTU,27176,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,,
1847,OTU,27184,,1,Bacteria,TM7,TM7-1,,,,
1747,OTU,27224,,1,Bacteria,Chloroflexi,Anaerolineae,,,,
2064,OTU,27232,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
1620,OTU,27276,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
2045,OTU,27309,,1,Bacteria,TM7,,,,,
2300,OTU,27343,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1816,OTU,27359,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1586,OTU,27392,,1,Bacteria,TM7,TM7-1,,,,
2169,OTU,27399,,1,Bacteria,Chloroflexi,Anaerolineae,A31,S47,,
1838,OTU,27411,,1,Bacteria,TM7,,,,,
2224,OTU,27412,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1803,OTU,27448,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1054,OTU,27602,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
2211,OTU,27610,,1,Bacteria,Chloroflexi,Anaerolineae,H39,,,
1572,OTU,27673,,1,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,,,
1379,OTU,27830,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1001,OTU,27832,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,alaskensis
355,OTU,27840,,1,Bacteria,Chloroflexi,TK10,B07,,,
2206,OTU,27894,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
1792,OTU,27914,,1,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,,
1104,OTU,27919,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,,
1820,OTU,27947,,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,OM27,,
2065,OTU,28104,,1,Bacteria,Chloroflexi,Anaerolineae,,,,
924,OTU,28230,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
672,OTU,28244,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1919,OTU,28722,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,oc28,,
2198,OTU,28751,,1,Bacteria,TM7,TM7-1,,,,
2179,OTU,28760,,1,Bacteria,Chloroflexi,TK17,mle1-48,,,
2192,OTU,28841,,1,Bacteria,Chloroflexi,Thermomicrobia,JG30-KF-CM45,,,
1232,OTU,28865,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
193,OTU,28868,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
48,OTU,28870,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
1083,OTU,29019,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
932,OTU,29020,,1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
351,OTU,29130,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
1341,OTU,29153,,1,Bacteria,TM7,TM7-1,,,,
172,OTU,29272,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,[Bryobacteraceae],,
17,OTU,29326,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas,
14,OTU,29339,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,
265,OTU,29396,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
367,OTU,29401,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
877,OTU,29406,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
300,OTU,29582,,1,Bacteria,Chloroflexi,Ellin6529,,,,
863,OTU,29722,,1,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,
1786,OTU,29727,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
2061,OTU,29729,,1,Bacteria,Acidobacteria,[Chloracidobacteria],PK29,,,
44,OTU,29913,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
175,OTU,29917,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1031,OTU,29921,,1,Bacteria,Acidobacteria,[Chloracidobacteria],PK29,,,
1388,OTU,29932,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
59,OTU,29940,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
1811,OTU,29955,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
455,OTU,29966,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
873,OTU,29970,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
972,OTU,29997,,1,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Caldilinea,
789,OTU,30002,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1079,OTU,30008,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1525,OTU,30018,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
297,OTU,30025,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,EB1017,,
1664,OTU,30029,,1,Bacteria,TM7,,,,,
343,OTU,30045,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,
1101,OTU,30070,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,
1931,OTU,30074,,1,Bacteria,Chloroflexi,Chloroflexi,[Roseiflexales],,,
1932,OTU,30075,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
2074,OTU,30076,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
498,OTU,30077,,1,Bacteria,Chloroflexi,TK10,,,,
2194,OTU,30085,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
3,OTU,30086,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
204,OTU,30093,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,
89,OTU,30096,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
1990,OTU,30106,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,,,
159,OTU,30114,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
653,OTU,30115,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
22,OTU,30117,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,
19,OTU,30118,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,
62,OTU,30120,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
291,OTU,30121,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
67,OTU,30123,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
16,OTU,30124,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacterium,
337,OTU,30126,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,
201,OTU,30128,,1,Bacteria,Chloroflexi,Ellin6529,,,,
340,OTU,30129,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,
102,OTU,30131,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
396,OTU,30133,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
296,OTU,30136,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas,
245,OTU,30139,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
111,OTU,30141,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Balneimonas,
551,OTU,30143,,1,Bacteria,Chloroflexi,TK10,AKYG885,Dolo,,
354,OTU,30147,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
267,OTU,30154,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,
287,OTU,30158,,1,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
524,OTU,30160,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
888,OTU,30165,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
430,OTU,30167,,1,Bacteria,Chloroflexi,S085,,,,
582,OTU,30171,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
478,OTU,30172,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
217,OTU,30174,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,,
676,OTU,30181,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
537,OTU,30190,,1,Bacteria,Chloroflexi,Anaerolineae,S0208,,,
290,OTU,30191,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,,
625,OTU,30193,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
1356,OTU,30195,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Mycoplana,
633,OTU,30196,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
51,OTU,30199,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
1004,OTU,30200,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
236,OTU,30201,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,
1390,OTU,30206,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
1111,OTU,30207,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
751,OTU,30209,,1,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
1652,OTU,30214,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
476,OTU,30218,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,,
307,OTU,30227,,1,Bacteria,Chloroflexi,TK10,AKYG885,Dolo,,
844,OTU,30228,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
1771,OTU,30231,,1,Bacteria,Actinobacteria,Actinobacteria,,,,
275,OTU,30233,,1,Bacteria,Chloroflexi,TK10,B07,,,
827,OTU,30234,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,,
496,OTU,30235,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,
1165,OTU,30238,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,
689,OTU,30239,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
507,OTU,30242,,1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,,
935,OTU,30244,,1,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,C111,,
571,OTU,30246,,1,Bacteria,Acidobacteria,[Chloracidobacteria],RB41,Ellin6075,,
