ID,Site,MAT,MAP,LUIlevel,LUIwT,Nit,Mow,Graze,Till,Sand,Silt,Clay,pH,BD,totN,totC,CN,totP,CUE_G,CUE_N,13CO2_G,13CO2_N,13MBC_G,13MBC_N,deltapH,deltaBD,deltaCUE_G,deltaCUE_N,delta13CO2_G,delta13CO2_N,delta13MBC_G,delta13MBC_N,16Spcoa1,16Spcoa2,ITSpcoa1,ITSpcoa2,CUEG:CUEN,qCO2G,growthG,qBiomassC,TOG,CNGrowthR,qCO2N,growthN,qBiomassN,TON
HWA4,bShotts,7.4,1550,xHigh,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,5.84,0.88,0.24,3.35,12.05,947.08,0.72,0.59,5.1,0.27,13.21,0.39,0.37,-0.15,0.01,0.11,-1.77,-0.04,-3.18,0.1,-0.132550708,0.091588368,-0.0604366,0.204555035,1.2,1.36,650.35,2.57,22.48,34.11,0.06,19.07,0.07,0.62
HWA5,bShotts,7.4,1550,xHigh,10.87,0.7,0,1.86,8.31,62.82,20.88,16.3,6.27,1.07,0.29,3.81,11.2,1166.14,0.66,0.52,5.71,0.54,11.06,0.58,0.8,0.05,-0.05,0.04,-1.15,0.23,-5.33,0.3,-0.061176634,0.20557808,0.006134707,0.278827082,1.34,1.53,366.35,1.45,12.67,19.57,0.13,18.72,0.07,0.61
HWG1,bShotts,7.4,1550,Low,0.49,0,0,0.49,0,69.84,15.36,14.8,5.53,0.99,0.34,4.32,10.84,1271.46,0.78,0.56,4.98,0.29,17.47,0.37,0.06,-0.03,0.07,0.08,-1.88,-0.02,1.08,0.09,-0.26005553,-0.047003917,-0.059015593,-0.166034652,1.54,1.36,703.37,1.9,16.67,57.44,0.06,12.25,0.03,0.27
HWG2,bShotts,7.4,1550,Low,0.49,0,0,0.49,0,69.84,15.36,14.8,5.51,1.15,0.41,4.76,9.99,785.2,0.73,0.61,5.56,0.23,14.66,0.36,0.04,0.12,0.02,0.13,-1.3,-0.08,-1.73,0.08,-0.28712803,-0.102769739,0.045677106,-0.106065192,1.45,1.52,627.75,1.7,14.87,63.85,0.05,9.83,0.03,0.22
HWG3,bShotts,7.4,1550,Low,0.49,0,0,0.49,0,69.84,15.36,14.8,5.34,0.98,0.51,8.12,13.56,664.21,0.7,0.41,6.82,0.36,16.26,0.25,-0.13,-0.04,0,-0.07,-0.05,0.05,-0.13,-0.03,-0.256416058,-0.071633173,-0.188116378,0.109548122,1.41,1.86,580.44,1.57,13.75,42.65,0.08,13.61,0.03,0.31
HWG4,bShotts,7.4,1550,Low,0.49,0,0,0.49,0,69.84,15.36,14.8,5.67,0.95,0.36,4.45,10.61,1039.01,0.66,0.31,9.42,0.45,18.41,0.2,0.2,-0.07,-0.05,-0.17,2.56,0.14,2.02,-0.08,-0.250580955,-0.011721888,-0.226240925,0.06664936,1.51,2.57,1009.44,2.73,23.92,59.33,0.1,17.01,0.04,0.38
HWG5,bShotts,7.4,1550,Low,0.49,0,0,0.49,0,69.84,15.36,14.8,5.31,1.05,0.4,4,8.61,899.87,0.67,0.52,7.54,0.21,15.15,0.23,-0.16,0.03,-0.04,0.04,0.68,-0.1,-1.24,-0.05,-0.272978324,-0.094848274,-0.200727221,0.094452571,1.31,2.06,591.66,1.6,14.02,67.11,0.05,8.82,0.02,0.2
HWM1,bShotts,7.4,1550,Mid,2.01,0.66,0,1.34,0,69.23,16.57,14.2,6.02,1.05,0.34,4.69,11.95,765,0.75,0.46,5.3,0.59,15.92,0.5,0.55,0.03,0.04,-0.02,-1.56,0.28,-0.47,0.22,-0.205563975,0.082863442,-0.13982832,0.207790025,1.61,0.99,564.45,1.52,13.28,28.82,0.13,19.58,0.06,0.48
HWM2,bShotts,7.4,1550,Mid,2.01,0.66,0,1.34,0,69.23,16.57,14.2,5.96,0.96,0.4,5.09,10.83,1240.94,0.72,0.36,6.08,0.76,15.75,0.42,0.49,-0.06,0.01,-0.12,-0.78,0.45,-0.64,0.14,-0.1688551,0.115300037,-0.098872894,0.185294337,1.77,1.14,598.86,1.61,14.09,28.67,0.17,20.89,0.06,0.52
HWM3,bShotts,7.4,1550,Mid,2.01,0.66,0,1.34,0,69.23,16.57,14.2,6.07,0.93,0.43,5.25,10.54,1305.75,0.75,0.41,5.4,0.8,15.9,0.56,0.6,-0.1,0.04,-0.07,-1.46,0.49,-0.5,0.28,-0.148056358,0.147334299,-0.104208234,0.261129916,1.79,1.01,621.83,1.67,14.63,26.78,0.18,23.22,0.07,0.57
HWM4,bShotts,7.4,1550,Mid,2.01,0.66,0,1.34,0,69.23,16.57,14.2,5.88,1,0.34,5.3,13.32,1039.38,0.65,0.57,5.54,0.38,10.11,0.5,0.41,-0.03,-0.06,0.09,-1.32,0.07,-6.28,0.22,-0.218400078,0.058786511,-0.163106228,0.194289356,1.24,1.04,532.72,1.43,12.54,26.41,0.08,20.17,0.06,0.5
HWM5,bShotts,7.4,1550,Mid,2.01,0.66,0,1.34,0,69.23,16.57,14.2,6.14,1,0.35,4.81,11.92,934.64,0.67,0.45,5.39,0.82,11.08,0.68,0.67,-0.03,-0.03,-0.03,-1.47,0.51,-5.31,0.4,-0.212107247,0.060945479,-0.138095231,0.212619126,1.56,1.01,528.71,1.42,12.44,19.11,0.18,27.67,0.08,0.68
CPM1,Chapel-le-Dale,7.55,1092.7,xHigh,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.61,0.6,0.9,8.33,7.94,1242.7,0.62,0.52,8.76,0.32,14.35,0.35,0.05,-0.05,-0.04,0.08,1.34,-0.34,-0.42,-0.18,-0.132801311,0.078842264,-0.191562848,-0.01071641,1.19,1.43,506.62,1.12,9.83,39.08,0.1,18.54,0.04,0.35
CPM2,Chapel-le-Dale,7.55,1092.7,xHigh,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.51,0.6,0.88,8.72,8.51,1480.35,0.68,0.59,7.59,0.33,15.83,0.47,-0.04,-0.05,0.01,0.15,0.18,-0.34,1.06,-0.05,-0.09128274,0.102495424,-0.164370161,0.03118001,1.18,1.24,615.29,1.36,11.94,35.53,0.1,15,0.03,0.28
CPM3,Chapel-le-Dale,7.55,1092.7,xHigh,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.69,0.62,0.74,7.77,8.98,1352,0.67,0.47,7.81,0.41,16.09,0.37,0.14,-0.03,0.01,0.03,0.4,-0.25,1.31,-0.16,-0.226853274,-0.028142352,-0.276613517,-0.080991795,1.31,1.28,742.11,1.64,14.4,38.28,0.08,25.44,0.05,0.48
CPM4,Chapel-le-Dale,7.55,1092.7,xHigh,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.75,0.73,0.58,6.27,9.24,1066.99,0.66,0.52,6.88,0.36,13.09,0.39,0.19,0.08,-0.01,0.08,-0.54,-0.31,-1.69,-0.13,-0.176353166,-0.012837816,-0.23309565,-0.054902032,1.53,1.13,639.98,1.42,12.42,52.12,0.07,20.15,0.04,0.38
CPM5,Chapel-le-Dale,7.55,1092.7,xHigh,4.76,0.37,2,1.7,0,47.95,21.51,30.54,5.82,0.69,0.76,6.4,7.25,1936.07,0.67,0.54,8.39,0.28,16.93,0.34,0.27,0.04,0.01,0.1,0.97,-0.38,2.15,-0.18,-0.140540023,0.063595793,-0.154301893,0.0036901,1.22,1.37,711.51,1.58,13.81,49.11,0.17,31.18,0.07,0.59
CPC1,Chapel-le-Dale,7.55,1092.7,Low,3.7,0,2,1.7,0,50.12,20.2,29.69,5.6,0.61,0.7,7.58,9.26,1914.14,0.69,0.44,7.32,0.63,16.05,0.5,0.04,-0.04,0.03,0,-0.1,-0.04,1.27,-0.02,-0.169697113,0.048128856,-0.254213698,-0.036577389,1.63,0.95,632.5,1.36,11.91,34.11,0.04,12.96,0.03,0.25
CPC2,Chapel-le-Dale,7.55,1092.7,Low,3.7,0,2,1.7,0,50.12,20.2,29.69,5.54,0.61,0.59,5.81,8.4,1734.86,0.68,0.4,8.37,0.62,18.03,0.41,-0.01,-0.04,0.02,-0.04,0.95,-0.05,3.25,-0.12,-0.104332234,0.116478087,-0.228538776,0.010017978,1.67,1.08,553.24,1.19,10.42,36.87,0.04,17.32,0.04,0.34
CPC3,Chapel-le-Dale,7.55,1092.7,Low,3.7,0,2,1.7,0,50.12,20.2,29.69,5.29,0.63,0.75,8.33,9.54,1460.91,0.69,0.51,7.8,0.52,17.26,0.54,-0.27,-0.02,0.03,0.07,0.38,-0.15,2.48,0.02,-0.280869323,-0.097711231,-0.338275945,-0.140488634,1.29,1.01,744.98,1.6,14.03,29.29,0.05,19.38,0.04,0.38
CPC4,Chapel-le-Dale,7.55,1092.7,Low,3.7,0,2,1.7,0,50.12,20.2,29.69,5.74,0.7,0.63,6.62,9.06,1378.16,0.65,0.43,6.67,0.47,12.15,0.34,0.18,0.05,-0.02,-0.02,-0.75,-0.2,-2.63,-0.18,-0.272835235,-0.107313154,-0.302951538,-0.157193706,1.31,0.86,558.64,1.2,10.52,27.72,0.05,12.28,0.03,0.24
CPC5,Chapel-le-Dale,7.55,1092.7,Low,3.7,0,2,1.7,0,50.12,20.2,29.69,5.61,0.69,0.52,5.53,9.12,1122.37,0.6,0.43,6.94,1.11,10.4,0.82,0.05,0.04,-0.06,-0.01,-0.48,0.44,-4.38,0.3,-0.249134744,-0.095946897,-0.299683329,-0.176854065,1.68,0.9,607.98,1.31,11.45,19.5,0.04,14.49,0.03,0.28
CPF1,Chapel-le-Dale,7.55,1092.7,Mid,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.63,0.62,0.81,7.71,8.18,1798.29,0.7,0.49,6.78,0.53,15.59,0.51,0.07,-0.02,0.04,0.05,-0.64,-0.14,0.81,-0.02,-0.110542777,0.071560633,-0.170803194,-0.048312795,1.46,0.83,554.01,1.25,10.92,30.32,0.06,18.27,0.04,0.34
CPF2,Chapel-le-Dale,7.55,1092.7,Mid,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.69,0.68,0.75,7.2,8.21,1387.19,0.7,0.56,5.82,0.45,13.88,0.56,0.13,0.03,0.04,0.12,-1.6,-0.22,-0.9,0.04,-0.227649307,-0.045629367,-0.292405519,-0.103765804,1.38,0.71,569.5,1.28,11.23,29.38,0.05,19.38,0.04,0.36
CPF3,Chapel-le-Dale,7.55,1092.7,Mid,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.51,0.68,0.71,6.91,8.36,1410.58,0.63,0.56,7.41,0.25,12.38,0.32,-0.05,0.03,-0.04,0.12,-0.01,-0.42,-2.4,-0.21,-0.225559092,-0.099676435,-0.3154258,-0.146171655,1,0.91,491.79,1.11,9.7,29.89,0.03,16.45,0.03,0.3
CPF4,Chapel-le-Dale,7.55,1092.7,Mid,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.62,0.69,0.6,6.13,8.69,1782.46,0.6,0.43,7.38,0.25,11.15,0.19,0.06,0.05,-0.06,-0.01,-0.04,-0.42,-3.62,-0.34,-0.268354631,-0.13650355,-0.330762492,-0.146421619,1.27,0.9,501.13,1.13,9.88,50.85,0.03,9.86,0.02,0.18
CPF5,Chapel-le-Dale,7.55,1092.7,Mid,4.07,1.05,2,1.7,0,49.64,20.09,30.28,5.54,0.7,0.57,6.26,9.47,1870.69,0.66,0.55,6.1,0.31,12.05,0.38,-0.02,0.05,0,0.11,-1.32,-0.36,-2.73,-0.14,-0.269942458,-0.137728456,-0.294112386,-0.141919724,1.29,0.75,601.01,1.35,11.85,38.65,0.03,15.55,0.03,0.29
MCA1,dPreston,10,1033.6,xHigh,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.51,0.81,0.55,5.22,8.19,1005.93,0.67,0.35,4.35,0.92,8.76,0.49,-0.08,0,0.08,-0.19,-2.22,0.28,-0.31,-0.38,0.216934917,0.185637344,0.181738773,0.237877639,1.79,0.98,347.3,1.29,11.33,15.67,0.21,22.16,0.08,0.68
MCA2,dPreston,10,1033.6,xHigh,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.6,0.96,0.5,4.65,7.96,514,0.67,0.59,3.8,0.66,7.8,0.96,0.01,0.15,0.08,0.06,-2.78,0.02,-1.27,0.1,0.243442426,0.149067636,0.189723489,0.214364839,1.07,0.85,353.64,1.32,11.54,7.2,0.15,49.14,0.17,1.5
MCA3,dPreston,10,1033.6,xHigh,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.53,0.92,0.58,5.5,8.08,1354.35,0.63,0.33,5.11,0.83,8.52,0.41,-0.06,0.11,0.03,-0.2,-1.46,0.19,-0.55,-0.45,0.182183406,0.157844836,0.142624761,0.216081723,2.42,1.15,304.46,1.13,9.94,27.55,0.19,11.05,0.04,0.34
MCA4,dPreston,10,1033.6,xHigh,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,7.53,1.16,0.29,3.57,10.5,1021.04,0.88,0.79,1.41,0.21,10.41,0.78,0.94,0.35,0.29,0.25,-5.17,-0.43,1.34,-0.09,0.298677593,0.11942364,0.21990531,0.191390401,1.06,0.32,521.59,1.94,17.02,10.91,0.05,47.79,0.17,1.46
MCA5,dPreston,10,1033.6,xHigh,8.89,3.61,4.6,0.69,0,52.71,19.43,27.86,6.67,0.93,0.49,5.15,9.06,1014.43,0.7,0.5,3.93,0.8,9.17,0.8,0.08,0.11,0.11,-0.04,-2.65,0.17,0.1,-0.06,0.167782128,0.189058219,0.171488433,0.218542557,1.66,0.88,380.62,1.42,12.42,15.65,0.18,24.32,0.08,0.74
MCG1,dPreston,10,1033.6,Low,0,0,0,0,0,53.02,18.56,28.42,6.53,0.68,0.69,7.62,9.39,1740.69,0.6,0.42,8.94,1,13.54,0.73,-0.06,-0.13,0.01,-0.11,2.36,0.37,4.47,-0.13,0.139124414,0.165066198,0.112138232,0.12787718,1.66,2.37,448.25,1.58,13.84,22.01,0.37,20.37,0.08,0.73
MCG2,dPreston,10,1033.6,Low,0,0,0,0,0,53.02,18.56,28.42,7.82,0.98,0.52,5.74,9.38,1883,0.88,0.82,1.18,0.21,8.68,0.96,1.23,0.16,0.29,0.29,-5.39,-0.43,-0.39,0.1,0.240872298,0.092991089,0.157785812,0.073568309,1.06,0.31,488.63,1.72,15.09,9.55,0.08,51.15,0.21,1.83
MCG3,dPreston,10,1033.6,Low,0,0,0,0,0,53.02,18.56,28.42,6.04,0.75,0.69,7.13,8.92,1375.6,0.4,0.83,7.2,0.39,4.83,1.95,-0.55,-0.06,-0.19,0.3,0.63,-0.25,-4.24,1.09,-0.084384467,0.108787418,-0.05651299,0.110795211,0.52,1.91,229.81,0.81,7.1,2.69,0.14,85.58,0.35,3.06
MCG4,dPreston,10,1033.6,Low,0,0,0,0,0,53.02,18.56,28.42,6.43,0.76,0.65,6.42,8.46,1201.88,0.57,0.28,7.34,0.99,9.66,0.38,-0.16,-0.05,-0.02,-0.26,0.76,0.35,0.59,-0.48,0.178337272,0.108905689,0.066881084,0.061121043,1.69,1.95,426.57,1.5,13.17,19.66,0.36,21.69,0.09,0.78
MCG5,dPreston,10,1033.6,Low,0,0,0,0,0,53.02,18.56,28.42,6.12,0.9,0.6,6.45,9.26,1430.01,0.51,0.32,8.22,0.59,8.64,0.28,-0.47,0.09,-0.08,-0.21,1.64,-0.04,-0.43,-0.58,-0.017457962,0.169474523,0.018785382,0.141051889,1.48,2.18,310.44,1.09,9.59,26.58,0.22,11.68,0.05,0.42
MCM1,dPreston,10,1033.6,Mid,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.73,0.98,0.47,5.06,9.26,1297.51,0.42,0.3,6.46,1.18,4.59,0.52,0.14,0.17,-0.18,-0.23,-0.12,0.54,-4.49,-0.34,0.024801682,0.198936183,0.078098476,0.24686344,1.43,1.85,174.06,0.74,6.49,9.37,0.41,18.57,0.09,0.76
MCM2,dPreston,10,1033.6,Mid,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.61,1.06,0.38,4.23,9.65,1240.17,0.37,0.45,6.5,0.69,3.9,0.57,0.02,0.25,-0.22,-0.08,-0.07,0.05,-5.17,-0.29,0.000376364,0.177303852,0.067265055,0.243349744,0.81,1.86,169.56,0.72,6.32,6.48,0.24,26.17,0.12,1.07
MCM3,dPreston,10,1033.6,Mid,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.72,0.97,0.45,4.31,8.22,1340.37,0.37,0.82,6.1,0.75,3.56,3.33,0.13,0.16,-0.22,0.28,-0.48,0.12,-5.52,2.47,0.009027431,0.215427628,0.075386506,0.274583528,0.44,1.75,138.17,0.59,5.15,1.12,0.26,123.63,0.58,5.05
MCM4,dPreston,10,1033.6,Mid,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.23,0.98,0.41,3.73,7.76,1285.64,0.63,0.26,4.94,0.77,8.51,0.27,-0.36,0.17,0.04,-0.28,-1.64,0.14,-0.56,-0.6,0.059090734,0.226837418,0.08377482,0.273077338,2.33,1.42,310.22,1.32,11.57,27.78,0.27,11.17,0.05,0.46
MCM5,dPreston,10,1033.6,Mid,5.85,3.43,2,0.43,0,53.07,20.36,26.57,6.65,1.14,0.35,3.21,7.79,1216.2,0.42,0.8,5.29,0.37,3.8,1.46,0.06,0.33,-0.18,0.26,-1.28,-0.26,-5.27,0.6,0.048822907,0.217452681,0.091132744,0.264926785,0.59,1.52,216.6,0.92,8.08,2.76,0.13,78.59,0.37,3.21
SFA1,eWymondham,9.9,608.9,xHigh,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.2,1.34,0.18,2.31,11.25,831.16,0.67,0.96,4.38,0.07,8.92,1.84,-0.57,0.34,0.15,0.37,-1.76,-0.33,2.23,0.93,-0.07129615,0.027719553,0.146987931,0.09398429,0.46,0.76,146.07,0.42,3.65,2.12,0.04,68.96,0.38,3.36
SFA2,eWymondham,9.9,608.9,xHigh,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.05,1.42,0.31,2.91,8.07,521.42,0.31,0.97,3.92,0.07,1.72,2.29,-0.72,0.42,,0.38,,-0.33,-4.97,1.37,-0.040890018,0.13382282,0.176140159,0.097351295,0.5,0.68,149.32,0.43,3.73,2.2,0.03,67.88,0.38,3.31
SFA3,eWymondham,9.9,608.9,xHigh,6.71,2.56,0,0,4.15,60.62,16.52,22.86,5.97,1.42,0.22,2.03,7.8,466.92,0.28,0.92,4.19,0.13,1.66,1.49,-0.8,0.43,-0.24,0.33,-1.95,-0.27,-5.03,0.58,-0.060801788,0.064425194,0.152596081,0.096735117,0.56,0.72,174.43,0.5,4.36,3.56,0.06,49.02,0.27,2.39
SFA4,eWymondham,9.9,608.9,xHigh,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.41,1.41,0.29,2.63,7.86,664.71,0.58,,3.76,0.09,5.19,,-0.37,0.42,0.06,,-2.39,-0.31,-1.5,,0.078770255,0.174734376,0.198936293,0.109128179,,0.65,214.62,0.61,5.37,,0.04,,,
SFA5,eWymondham,9.9,608.9,xHigh,6.71,2.56,0,0,4.15,60.62,16.52,22.86,6.7,1.48,0.2,2.07,8.83,444.39,0.44,0.7,3.34,0.1,2.67,0.24,-0.08,0.48,-0.08,0.11,-2.81,-0.3,-4.02,-0.68,0.059890311,0.114814828,0.197898559,0.081069724,0.63,0.58,195.75,0.56,4.89,3.74,0.05,52.28,0.29,2.55
SFM1,eWymondham,9.9,608.9,Low,2,0,2,0,0,56.05,16.7,27.25,5.84,0.94,0.47,4.72,8.64,1076.22,0.41,0.19,5.11,0.84,5.07,0.12,-0.93,-0.05,-0.11,-0.41,-1.04,0.44,-1.62,-0.8,-0.022972671,0.190788332,0.025037173,0.147886005,1.16,0.73,306.37,0.75,6.6,8.41,0.12,36.41,0.09,0.77
